customer_id,customer_name,region,signup_date
1,Customer_1,North,07-04-2023
2,Customer_2,South,04-10-2020
3,Customer_3,East,17-11-2019
4,Customer_4,East,17-12-2020
5,Customer_5,East,28-11-2019
6,Customer_6,North,05-04-2021
7,Customer_7,East,15-04-2022
8,Customer_8,North,20-02-2019
9,Customer_9,East,04-05-2022
10,Customer_10,South,14-03-2018
11,Customer_11,South,09-01-2020
12,Customer_12,North,29-02-2020
13,Customer_13,West,08-09-2020
14,Customer_14,West,16-03-2020
15,Customer_15,North,20-10-2019
16,Customer_16,South,20-04-2018
17,Customer_17,West,13-05-2019
18,Customer_18,East,19-10-2022
19,Customer_19,West,08-07-2022
20,Customer_20,North,11-06-2022
21,Customer_21,North,29-04-2021
22,Customer_22,North,10-02-2023
23,Customer_23,West,22-11-2022
24,Customer_24,North,14-12-2022
25,Customer_25,West,28-06-2022
26,Customer_26,West,08-06-2021
27,Customer_27,West,26-04-2019
28,Customer_28,South,12-04-2021
29,Customer_29,West,29-10-2022
30,Customer_30,South,25-02-2023
31,Customer_31,North,21-12-2022
32,Customer_32,East,25-03-2022
33,Customer_33,East,12-05-2022
34,Customer_34,South,07-02-2020
35,Customer_35,South,25-02-2020
36,Customer_36,East,07-03-2021
37,Customer_37,West,29-01-2020
38,Customer_38,West,21-06-2023
39,Customer_39,North,11-06-2023
40,Customer_40,East,05-10-2020
41,Customer_41,East,12-04-2018
42,Customer_42,East,19-08-2019
43,Customer_43,West,23-10-2020
44,Customer_44,North,14-08-2018
45,Customer_45,East,06-08-2021
46,Customer_46,South,21-01-2021
47,Customer_47,East,17-06-2023
48,Customer_48,East,28-08-2019
49,Customer_49,South,17-08-2018
50,Customer_50,North,19-02-2023
51,Customer_51,North,03-07-2020
52,Customer_52,North,10-08-2020
53,Customer_53,West,01-03-2019
54,Customer_54,South,23-01-2019
55,Customer_55,West,26-09-2020
56,Customer_56,East,21-03-2021
57,Customer_57,West,24-07-2019
58,Customer_58,North,19-04-2020
59,Customer_59,North,09-02-2020
60,Customer_60,South,02-09-2021
61,Customer_61,North,21-09-2021
62,Customer_62,West,12-06-2018
63,Customer_63,North,03-02-2023
64,Customer_64,West,23-03-2022
65,Customer_65,South,25-09-2021
66,Customer_66,North,18-09-2019
67,Customer_67,East,22-06-2023
68,Customer_68,North,19-03-2019
69,Customer_69,East,23-06-2018
70,Customer_70,South,14-10-2020
71,Customer_71,South,28-04-2021
72,Customer_72,South,17-09-2018
73,Customer_73,South,08-03-2022
74,Customer_74,North,12-12-2022
75,Customer_75,West,08-12-2021
76,Customer_76,North,08-07-2022
77,Customer_77,South,11-02-2019
78,Customer_78,East,17-09-2020
79,Customer_79,North,22-03-2018
80,Customer_80,East,06-05-2019
81,Customer_81,East,24-02-2023
82,Customer_82,West,01-07-2020
83,Customer_83,West,20-02-2023
84,Customer_84,North,06-09-2019
85,Customer_85,West,16-03-2022
86,Customer_86,East,31-05-2018
87,Customer_87,North,10-04-2022
88,Customer_88,West,23-05-2018
89,Customer_89,North,08-12-2018
90,Customer_90,North,09-10-2019
91,Customer_91,West,25-06-2019
92,Customer_92,North,19-05-2023
93,Customer_93,West,25-08-2022
94,Customer_94,South,18-07-2020
95,Customer_95,North,03-04-2020
96,Customer_96,South,16-09-2021
97,Customer_97,South,09-10-2021
98,Customer_98,West,03-03-2023
99,Customer_99,West,18-07-2020
100,Customer_100,South,13-07-2021
101,Customer_101,South,23-09-2018
102,Customer_102,West,14-04-2020
103,Customer_103,East,02-02-2020
104,Customer_104,West,12-02-2021
105,Customer_105,South,24-02-2023
106,Customer_106,South,29-07-2019
107,Customer_107,North,29-05-2018
108,Customer_108,North,16-03-2018
109,Customer_109,South,26-01-2019
110,Customer_110,West,19-03-2018
111,Customer_111,South,22-11-2022
112,Customer_112,East,11-07-2019
113,Customer_113,North,25-07-2022
114,Customer_114,East,03-08-2020
115,Customer_115,West,05-02-2021
116,Customer_116,East,10-08-2022
117,Customer_117,South,16-11-2021
118,Customer_118,East,05-06-2021
119,Customer_119,North,21-05-2022
120,Customer_120,South,23-02-2021
121,Customer_121,South,17-01-2021
122,Customer_122,East,21-05-2021
123,Customer_123,East,30-04-2020
124,Customer_124,West,01-01-2018
125,Customer_125,South,19-06-2023
126,Customer_126,West,10-06-2021
127,Customer_127,South,11-01-2021
128,Customer_128,South,10-01-2023
129,Customer_129,North,12-02-2021
130,Customer_130,South,07-01-2018
131,Customer_131,West,30-05-2020
132,Customer_132,West,08-05-2022
133,Customer_133,South,23-11-2021
134,Customer_134,East,16-02-2020
135,Customer_135,West,10-10-2022
136,Customer_136,North,28-10-2018
137,Customer_137,West,21-06-2023
138,Customer_138,West,16-03-2022
139,Customer_139,East,04-05-2021
140,Customer_140,South,12-12-2019
141,Customer_141,South,10-11-2020
142,Customer_142,North,09-02-2019
143,Customer_143,East,04-06-2023
144,Customer_144,East,20-03-2023
145,Customer_145,East,10-05-2019
146,Customer_146,North,14-10-2019
147,Customer_147,South,14-08-2019
148,Customer_148,East,13-02-2020
149,Customer_149,East,09-12-2018
150,Customer_150,West,10-01-2022
151,Customer_151,East,20-10-2019
152,Customer_152,East,21-10-2019
153,Customer_153,East,28-10-2019
154,Customer_154,North,25-06-2022
155,Customer_155,North,01-09-2020
156,Customer_156,East,04-06-2022
157,Customer_157,West,11-09-2021
158,Customer_158,North,13-06-2021
159,Customer_159,West,27-03-2022
160,Customer_160,North,05-04-2021
161,Customer_161,East,31-05-2020
162,Customer_162,South,01-07-2019
163,Customer_163,North,03-05-2018
164,Customer_164,South,14-12-2021
165,Customer_165,East,22-05-2022
166,Customer_166,West,24-02-2021
167,Customer_167,West,30-03-2019
168,Customer_168,East,01-02-2019
169,Customer_169,East,02-09-2018
170,Customer_170,North,08-02-2020
171,Customer_171,North,25-01-2019
172,Customer_172,East,08-04-2021
173,Customer_173,North,08-11-2018
174,Customer_174,West,24-08-2018
175,Customer_175,East,26-02-2020
176,Customer_176,North,23-10-2018
177,Customer_177,South,02-04-2021
178,Customer_178,East,24-06-2019
179,Customer_179,East,06-01-2021
180,Customer_180,East,26-06-2019
181,Customer_181,East,16-10-2022
182,Customer_182,North,17-06-2020
183,Customer_183,West,17-05-2023
184,Customer_184,North,07-12-2021
185,Customer_185,West,03-09-2021
186,Customer_186,South,05-09-2022
187,Customer_187,South,19-01-2018
188,Customer_188,North,21-03-2022
189,Customer_189,East,02-10-2021
190,Customer_190,South,18-01-2018
191,Customer_191,South,30-09-2020
192,Customer_192,North,16-01-2018
193,Customer_193,South,31-12-2021
194,Customer_194,East,04-11-2021
195,Customer_195,West,02-07-2022
196,Customer_196,West,29-07-2020
197,Customer_197,East,23-09-2018
198,Customer_198,North,19-02-2023
199,Customer_199,North,16-02-2021
200,Customer_200,West,11-11-2019
201,Customer_201,West,07-02-2018
202,Customer_202,North,28-01-2020
203,Customer_203,North,10-10-2018
204,Customer_204,North,14-12-2022
205,Customer_205,South,26-10-2022
206,Customer_206,East,14-06-2022
207,Customer_207,South,14-06-2019
208,Customer_208,North,05-10-2020
209,Customer_209,South,21-06-2019
210,Customer_210,East,09-02-2022
211,Customer_211,North,06-01-2020
212,Customer_212,South,11-05-2018
213,Customer_213,East,08-11-2021
214,Customer_214,East,24-07-2022
215,Customer_215,East,05-04-2018
216,Customer_216,North,22-01-2020
217,Customer_217,West,17-03-2021
218,Customer_218,East,27-07-2021
219,Customer_219,North,14-04-2019
220,Customer_220,West,12-10-2019
221,Customer_221,South,21-01-2019
222,Customer_222,West,11-06-2020
223,Customer_223,West,01-01-2023
224,Customer_224,South,22-05-2020
225,Customer_225,South,07-12-2021
226,Customer_226,North,06-03-2021
227,Customer_227,North,02-01-2023
228,Customer_228,West,16-09-2022
229,Customer_229,South,06-07-2020
230,Customer_230,West,02-04-2019
231,Customer_231,East,28-07-2021
232,Customer_232,West,21-09-2018
233,Customer_233,North,23-01-2021
234,Customer_234,South,01-04-2018
235,Customer_235,East,28-09-2018
236,Customer_236,North,07-01-2022
237,Customer_237,East,22-07-2021
238,Customer_238,South,23-04-2020
239,Customer_239,South,29-07-2018
240,Customer_240,North,22-04-2020
241,Customer_241,South,18-12-2018
242,Customer_242,West,29-06-2018
243,Customer_243,North,26-10-2020
244,Customer_244,South,22-08-2019
245,Customer_245,West,08-05-2023
246,Customer_246,East,01-12-2019
247,Customer_247,East,17-05-2019
248,Customer_248,East,25-08-2021
249,Customer_249,North,21-03-2019
250,Customer_250,West,15-03-2019
