sale_id,customer_id,product_id,quantity,discount,sale_date
1,10475,2301,1,0.05,18-01-2022
2,1662,1692,3,0.19,27-06-2021
3,15388,3304,1,0.08,23-07-2023
4,476,1492,4,0.08,16-08-2023
5,11325,3377,4,0.03,01-10-2023
6,12778,1614,1,0.04,09-11-2020
7,12623,1676,5,0.18,05-11-2022
8,12296,3058,5,0.09,25-04-2023
9,11424,999,5,0.13,18-04-2020
10,16369,625,2,0.22,06-06-2022
11,11093,2057,3,0.22,17-05-2020
12,12113,218,1,0.17,05-01-2020
13,16318,272,5,0.22,27-11-2023
14,7308,3411,3,0.09,21-09-2023
15,7971,796,2,0.17,20-03-2020
16,4213,2189,5,0.07,19-03-2022
17,10249,2328,2,0.09,17-07-2023
18,316,1093,1,0.22,02-12-2022
19,11406,1345,2,0.16,05-09-2022
20,4905,62,2,0.13,09-09-2023
21,8442,1816,3,0.07,16-11-2021
22,8843,2824,3,0.05,20-01-2023
23,12027,336,5,0.13,17-10-2021
24,405,1652,4,0.17,07-04-2022
25,13984,920,3,0.08,16-04-2021
26,12904,2766,4,0.05,23-10-2022
27,13128,1676,1,0.09,27-04-2022
28,17400,2251,4,0.25,11-10-2022
29,16408,2817,1,0.04,22-03-2022
30,15969,1065,1,0.07,08-08-2021
31,136,1637,1,0.23,16-01-2024
32,5009,1153,5,0.23,04-11-2023
33,17303,1687,2,0.01,29-01-2020
34,18958,3337,5,0.01,27-11-2021
35,11348,2381,3,0.02,06-07-2022
36,5307,621,2,0.1,11-02-2022
37,12824,893,1,0.11,06-01-2021
38,15640,800,5,0.19,23-05-2021
39,3094,802,4,0.01,26-11-2020
40,4482,546,2,0.01,21-07-2022
41,17231,2718,3,0.16,22-09-2020
42,577,1464,4,0.06,06-10-2023
43,11605,2733,4,0.17,04-09-2023
44,6557,141,4,0.01,25-10-2021
45,6071,2012,5,0.11,12-01-2022
46,14254,1757,1,0.03,16-05-2020
47,5056,963,3,0.08,18-11-2023
48,19979,2957,3,0.23,19-09-2020
49,10097,1118,2,0.23,20-07-2022
50,11879,412,2,0.24,20-10-2020
51,19103,1043,2,0.21,29-01-2024
52,6234,2556,1,0.07,05-05-2020
53,8468,1916,3,0.01,18-07-2022
54,178,1758,4,0.04,08-06-2022
55,17449,2062,1,0.09,20-10-2023
56,4531,583,5,0.09,09-06-2021
57,14247,768,4,0.15,31-03-2023
58,14973,2224,4,0,16-05-2022
59,14438,381,3,0.17,26-11-2022
60,4027,1414,1,0.25,27-08-2021
61,8583,3492,2,0.09,12-02-2020
62,3199,2489,3,0.1,22-07-2022
63,6688,2954,5,0.1,13-09-2022
64,11904,3445,3,0.11,22-08-2022
65,8317,748,3,0.24,28-10-2022
66,19496,1321,1,0.21,13-04-2020
67,19056,1938,2,0.21,20-06-2021
68,2833,789,3,0.13,23-04-2023
69,6254,506,4,0.01,06-02-2020
70,16132,285,2,0.22,10-08-2023
71,9940,309,2,0.1,01-09-2022
72,18100,33,2,0.08,08-09-2022
73,2938,527,5,0.18,01-08-2022
74,5606,2428,4,0.19,21-02-2020
75,2988,2002,3,0.17,10-12-2020
76,11805,1362,3,0.07,15-12-2020
77,18393,239,4,0.09,06-07-2020
78,5007,2087,2,0.04,24-02-2020
79,10514,3221,2,0.14,21-12-2020
80,10654,974,5,0.19,12-02-2022
81,2843,1683,5,0.12,22-11-2020
82,17387,1858,2,0.09,09-07-2022
83,726,1103,3,0.22,19-07-2021
84,11688,3044,2,0.1,12-06-2020
85,11379,2871,1,0.2,16-09-2022
86,12936,680,5,0.16,15-08-2021
87,18434,586,4,0.03,23-06-2022
88,17248,4,5,0.23,09-02-2023
89,522,920,3,0.11,17-03-2020
90,19430,3003,3,0.07,08-01-2021
91,16422,2710,5,0.17,10-10-2020
92,18922,2547,1,0.14,17-07-2023
93,1567,2981,5,0.01,28-08-2022
94,2531,577,4,0.15,09-12-2020
95,11398,2123,2,0.09,04-02-2020
96,8878,1009,5,0.23,18-02-2023
97,16530,1015,4,0.16,31-03-2020
98,359,2206,1,0.08,21-08-2020
99,9941,3254,1,0.1,25-05-2020
100,9343,1003,2,0.13,07-05-2020
101,9111,3156,4,0.06,21-02-2021
102,3259,2039,5,0.12,07-08-2021
103,6443,1992,3,0.1,29-07-2023
104,19326,3274,2,0.12,03-02-2021
105,8623,864,4,0.1,19-12-2020
106,15997,3252,4,0.22,06-11-2021
107,13091,176,3,0,01-08-2023
108,6270,1526,2,0.13,10-05-2023
109,6286,259,3,0.12,09-09-2021
110,4372,2027,5,0.24,08-06-2023
111,551,2627,5,0.12,15-09-2020
112,17367,1937,2,0.2,08-09-2023
113,5383,1557,2,0.23,08-06-2023
114,896,2820,4,0.12,10-03-2021
115,16436,201,4,0.11,05-01-2024
116,11770,1756,3,0.12,22-04-2020
117,16605,619,1,0.08,22-08-2023
118,11708,573,1,0.07,14-10-2020
119,15864,46,1,0.06,09-08-2021
120,17896,2391,4,0.05,16-06-2021
121,9997,1588,4,0.12,09-09-2021
122,12002,266,2,0.17,19-02-2020
123,4203,2784,2,0.1,04-07-2021
124,8501,111,5,0.01,16-04-2022
125,5915,2198,1,0,17-06-2021
126,6596,1325,2,0.23,12-10-2023
127,3433,2628,2,0.18,06-02-2020
128,16213,2719,4,0.01,21-03-2020
129,15979,2355,3,0.08,27-08-2020
130,1590,2664,3,0.21,08-11-2023
131,7638,328,5,0.17,15-09-2020
132,10205,426,3,0.25,11-05-2023
133,10826,226,5,0.1,29-03-2021
134,10497,1308,4,0.23,13-12-2022
135,3867,85,2,0.15,19-07-2023
136,1590,2148,3,0.21,14-04-2021
137,2509,2530,2,0.01,27-06-2023
138,13613,6,3,0.05,03-04-2023
139,6838,737,2,0.02,06-11-2023
140,11302,2833,2,0.08,29-04-2021
141,10316,982,2,0.03,28-12-2021
142,5761,2873,1,0.13,21-10-2023
143,2175,714,4,0.14,18-11-2023
144,8412,765,5,0.14,22-10-2021
145,16,2891,2,0.2,28-09-2022
146,15489,2391,2,0.21,26-10-2020
147,11120,911,4,0.23,10-08-2020
148,3896,2262,5,0.09,30-11-2021
149,558,328,2,0.02,05-02-2023
150,2423,982,1,0.17,07-09-2022
151,3392,222,1,0.19,26-02-2022
152,17402,1832,5,0.05,17-04-2021
153,10630,721,2,0.08,14-08-2022
154,5278,1638,2,0.11,23-07-2022
155,11114,1807,4,0.09,06-12-2020
